Date,Open,High,Low,Close,Adj Close,Volume
28-07-2022,220.399994,221.449997,216.899994,218.149994,216.13707,22716582
29-07-2022,220.199997,222.649994,218.850006,221.899994,219.852478,19006987
01-08-2022,222.300003,231.25,221.600006,230.350006,228.224518,22010178
02-08-2022,230,233.600006,227.199997,232.649994,230.503281,20231195
03-08-2022,232,237.300003,231.050003,232.5,230.354675,25614730
04-08-2022,233.800003,234.800003,225.300003,227.649994,225.549423,20979139
05-08-2022,228.649994,233.25,227.699997,232.100006,229.958374,33228441
08-08-2022,232.050003,232.850006,227.699997,228.25,226.14389,11852419
10-08-2022,229.5,230.399994,227.149994,228.5,226.391586,11392194
11-08-2022,229.899994,231.350006,228.350006,229.399994,227.283264,9195356
12-08-2022,230,235.699997,228.600006,232.399994,230.255585,23305682
16-08-2022,233.649994,237.5,231.399994,236,233.822372,18790189
17-08-2022,238.449997,241.800003,236.600006,237.300003,235.110382,23760210
18-08-2022,236.949997,239.800003,235.899994,237.949997,235.754379,15238636
19-08-2022,238.850006,241.899994,232,232.649994,230.503281,23097652
22-08-2022,232.649994,232.649994,222.850006,224.149994,222.081711,20956719
23-08-2022,222.75,232.100006,221.649994,231.449997,229.314362,19119958
24-08-2022,230.949997,232.800003,227.5,229.600006,227.48143,14521061
25-08-2022,230.600006,233.199997,228.649994,229.300003,227.184204,13814880
26-08-2022,231,236.399994,230.850006,235.100006,232.930695,19400636
29-08-2022,227.149994,233.699997,227.100006,232.649994,230.503281,14098344
30-08-2022,234,237.5,234,236.949997,234.763611,13418819
01-09-2022,235.050003,240.25,234.399994,237.199997,235.011307,14693953
02-09-2022,238.449997,239.5,234.449997,235.199997,233.029755,12347290
05-09-2022,235.449997,238.399994,235.199997,236.449997,234.268219,10500643
06-09-2022,237.649994,248,237.199997,247.350006,245.067657,61475311
07-09-2022,246.949997,251.149994,245.199997,246.949997,244.671341,30474615
08-09-2022,249.550003,250.100006,243.600006,244.899994,242.640244,14951235
09-09-2022,246.5,247,241.199997,242.350006,240.113785,12290186
12-09-2022,243.699997,245.199997,241.699997,242.800003,240.559631,10322525
13-09-2022,243.899994,244.899994,240.050003,241.050003,238.825775,13871114
14-09-2022,237.449997,244.149994,236.649994,241.5,239.271622,24228696
15-09-2022,242.350006,246.899994,239.899994,245.399994,243.135635,19214950
16-09-2022,246.899994,247.75,232.649994,236.300003,234.119614,58044047
19-09-2022,237.5,237.949997,231.899994,232.350006,230.20607,14016637
20-09-2022,235,237.5,234.149994,235.25,233.0793,10376536
21-09-2022,235.5,236.600006,230.350006,231.199997,229.066666,14179308
22-09-2022,229.100006,233.5,227.449997,231.649994,229.512512,19648230
23-09-2022,231.25,232.350006,223.550003,224.5,222.428497,16143866
26-09-2022,222.800003,223.550003,212.5,215.300003,213.313385,22684799
27-09-2022,217.300003,219.850006,214.449997,217.5,215.493088,14097631
28-09-2022,215,216.850006,212.75,213.899994,211.926285,12102060
29-09-2022,216.149994,218,210.5,212.25,210.291519,18736174
30-09-2022,212.199997,217.100006,210.25,216.5,214.502304,13008102
03-10-2022,216.5,218,211.800003,213.149994,211.183212,10864491
04-10-2022,216.800003,219.949997,216.199997,219.050003,217.028778,11173725
06-10-2022,221,223.25,220.25,221.699997,219.654327,10571565
07-10-2022,221.649994,222.899994,218.75,222.5,220.446945,11098716
10-10-2022,220,220.75,217.100006,220.350006,218.316788,9516511
11-10-2022,220.399994,222.25,216.5,217.149994,215.146301,9006207
12-10-2022,218,219.399994,215.050003,217.949997,215.938919,9504518
13-10-2022,217.949997,218.899994,213.5,216.149994,214.155533,9559072
14-10-2022,220,220.600006,215.5,215.899994,213.907837,8739363
17-10-2022,215,218.5,213.850006,217.949997,215.938919,9420098
18-10-2022,219.050003,222,218.649994,220.649994,218.614014,10267276
19-10-2022,221.399994,221.649994,217.550003,218.399994,216.384766,7712123
20-10-2022,217.850006,221.300003,216.100006,220.800003,218.762634,7889548
21-10-2022,221.25,222.25,217.550003,218.600006,216.582932,8153053
24-10-2022,221,221.149994,218.300003,219,216.979233,2893840
25-10-2022,219.100006,222.899994,217.649994,220.649994,218.614014,9040336
